Time - Plot 0	Amplitude - Plot 0	
0	-0.00678072	
1	-0.0194279	
2	-0.00840216	
3	-0.0418038	
4	-0.0126179	
5	-0.0148879	
6	-0.0268866	
7	-0.0220222	
8	-0.0152122	
9	-0.0226708	
10	-0.0242923	
11	-0.0165093	
12	-0.0268866	
13	-0.026238	
14	0.000677899	
15	-0.00872644	
16	-0.0314266	
17	-0.035318	
18	-0.0168336	
19	-0.00937502	
20	-0.0223465	
21	-0.0174822	
22	-0.0268866	
23	-0.0142393	
24	-0.0255894	
25	-0.0265623	
26	-0.0129422	
27	-0.0165093	
28	-0.0223465	
29	-0.0268866	
30	-0.028508	
31	-0.0135908	
32	-0.0278594	
33	-0.0145636	
34	-0.035318	
35	-0.0161851	
36	-0.0236437	
37	-0.0259137	
38	-0.0229951	
39	-0.0135908	
40	-0.0226708	
41	-0.0366152	
42	-0.0395338	
43	-0.0405066	
44	-0.0246165	
45	-0.0304537	
46	-0.0171579	
47	-0.0242923	
48	-0.0187794	
49	-0.0187794	
50	-0.0226708	
51	0.00229934	
52	-0.0187794	
53	-0.026238	
54	-0.0246165	
55	-0.0346695	
56	-0.0281837	
57	-0.00969931	
58	-0.0379123	
59	-0.0161851	
60	-0.0291566	
61	-0.021698	
62	-0.0126179	
63	-0.0278594	
64	-0.0301294	
65	-0.0392095	
66	-0.0210494	
67	-0.028508	
68	-0.0317509	
69	-0.0249408	
70	-0.0135908	
71	-0.0126179	
72	-0.023968	
73	-0.0191037	
74	-0.0398581	
75	-0.0135908	
76	-0.0184551	
77	-0.00937502	
78	-0.0158608	
79	-0.00386213	
80	-0.00580785	
81	-0.00872644	
82	-0.0197522	
83	-0.0249408	
84	-0.0165093	
85	-0.0226708	
86	-0.0294809	
87	-0.0246165	
88	-0.023968	
89	-0.0106722	
90	-0.0100236	
91	-0.0298051	
92	-0.0213737	
93	-0.0233194	
94	-0.0210494	
95	-0.0298051	
96	-0.0191037	
97	-0.0275351	
98	-0.00969931	
99	-0.0298051	
100	-0.00807787	
101	-0.026238	
102	-0.0204008	
103	-0.0197522	
104	-0.0126179	
105	-0.0122936	
106	-0.0275351	
107	-0.0431009	
108	-0.0336966	
109	-0.0405066	
110	-0.00775358	
111	-0.0191037	
112	-0.0311023	
113	-0.0236437	
114	-0.0379123	
115	-0.0178065	
116	-0.0210494	
117	-0.0268866	
118	-0.00872644	
119	-0.0362909	
120	-0.0291566	
121	-0.0174822	
122	-0.0294809	
123	-0.0171579	
124	-0.0255894	
125	-0.0152122	
126	-0.021698	
127	-0.0294809	
128	-0.0194279	
129	-0.0343452	
130	-0.0236437	
131	-0.0178065	
132	-0.0346695	
133	-0.0178065	
134	-0.0155365	
135	-0.0495867	
136	-0.0109965	
137	-0.0168336	
138	-0.026238	
139	-0.0298051	
140	-0.0165093	
141	-0.0178065	
142	-0.0311023	
143	-0.0207251	
144	-0.013915	
145	-0.0200765	
146	-0.0100236	
147	-0.0236437	
148	-0.0126179	
149	-0.0246165	
150	-0.0259137	
151	-0.0268866	
152	-0.0126179	
153	-0.0187794	
154	-0.0405066	
155	-0.0401824	
156	-0.0165093	
157	-0.0223465	
158	-0.0184551	
159	-0.0340209	
160	-0.0259137	
161	-0.0249408	
162	-0.0236437	
163	-0.0379123	
164	-0.0255894	
165	-0.0191037	
166	-0.0184551	
167	-0.021698	
168	-0.0145636	
169	-0.0242923	
170	-0.011645	
171	-0.0178065	
172	-0.0161851	
173	-0.0236437	
174	-0.0320752	
175	-0.00159211	
176	-0.0343452	
177	-0.0200765	
178	-0.0213737	
179	-0.0113207	
180	-0.0165093	
181	-0.0236437	
182	-0.026238	
183	-0.00386213	
184	-0.0246165	
185	-0.0340209	
186	-0.021698	
187	-0.021698	
188	-0.0171579	
189	-0.0184551	
190	-0.0207251	
191	-0.0194279	
192	-0.045371	
193	-0.0301294	
194	-0.0272108	
195	-0.0275351	
196	-0.0155365	
197	-0.0372638	
198	-0.013915	
199	-0.0165093	
200	-0.0252651	
201	-0.0142393	
202	-0.0119693	
203	-0.0288323	
204	-0.0129422	
205	-0.0220222	
206	-0.0145636	
207	-0.0268866	
208	-0.0255894	
209	-0.0148879	
210	-0.0106722	
211	-0.00580785	
212	-0.0148879	
213	-0.0320752	
214	-0.0204008	
215	-0.0148879	
216	-0.0281837	
217	-0.0233194	
218	-0.0197522	
219	-0.0317509	
220	-0.0207251	
221	-0.0204008	
222	-0.0301294	
223	-0.0259137	
224	-0.023968	
225	-0.0382366	
226	-0.00645643	
227	-0.0323994	
228	-0.0366152	
229	-0.0181308	
230	-0.0246165	
231	-0.0194279	
