Time - Plot 0	Amplitude - Plot 0	
0	-0.0301379	
1	-0.0852737	
2	-0.0301379	
3	-0.0852737	
4	0	
5	-0.032071	
6	-0.124298	
7	-0.0621488	
8	0.0585123	
9	-0.0904136	
10	-0.0621488	
11	-0.032071	
12	-0.0284246	
13	-0.102807	
14	-0.0284246	
15	-0.0621488	
16	-0.0301379	
17	-0.0621488	
18	0.032071	
19	-0.24206	
20	-0.124298	
21	-0.0621488	
22	0	
23	-0.0367906	
24	-0.102807	
25	0	
26	-0.0284246	
27	-0.186446	
28	-0.142123	
29	0.248595	
30	-0.032071	
31	0	
32	0.381959	
33	-0.142123	
34	0.0904136	
35	-0.425821	
36	0.032071	
37	0.0301379	
38	-0.110372	
39	-0.032071	
40	-0.171345	
41	-0.0301379	
42	-0.0301379	
43	-0.049775	
44	0	
45	-0.0585123	
46	0.0585123	
47	0	
48	-0.0585123	
49	-0.0662672	
50	-0.0585123	
51	0.0621488	
52	-0.124298	
53	-0.0284246	
54	-0.0621488	
55	0.032071	
56	-0.0301379	
57	-0.0301379	
58	0.0342691	
59	0.032071	
60	-0.0904136	
61	0.0284246	
62	-0.0301379	
63	-0.132534	
64	-0.117025	
65	-0.248595	
66	0	
67	0.0301379	
68	-0.0621488	
69	-0.0585123	
70	-0.0962129	
71	-0.0962129	
72	-0.0552779	
73	-0.0621488	
74	0	
75	0.032071	
76	-0.0342691	
77	-0.0301379	
78	-0.18966	
79	-0.0585123	
80	-0.0301379	
81	-0.0621488	
82	-0.0662672	
83	-0.0621488	
84	-0.132534	
85	-0.0301379	
86	-0.0284246	
87	0	
88	-0.032071	
89	-0.0621488	
90	0.0552779	
91	0.0268956	
92	-0.198802	
93	-0.331667	
94	-0.14194	
95	0.110372	
96	-0.0552779	
97	-0.0662672	
98	0.0621488	
99	-0.032071	
100	-0.0904136	
101	-0.0268956	
102	-0.0662672	
103	-0.224497	
104	-0.0662672	
105	-0.0342691	
106	-0.0585123	
107	-0.0662672	
108	-0.0284246	
109	-0.0904136	
110	-0.0268956	
111	0.198802	
112	-0.0585123	
113	-0.0621488	
114	-0.0852737	
115	0.0301379	
116	0.0301379	
117	-0.0852737	
118	-0.0904136	
119	-0.032071	
120	-0.0585123	
121	-0.032071	
122	0.0342691	
123	-0.0662672	
124	-0.0662672	
125	-0.032071	
126	0.0621488	
127	-0.14194	
128	-0.0585123	
129	-0.032071	
130	-0.0904136	
131	-0.0585123	
132	-0.0301379	
133	0	
134	-0.0585123	
135	-0.124298	
136	-0.0662672	
137	0.0962129	
138	-0.0904136	
139	-0.132534	
140	-0.0621488	
141	0	
142	-0.102807	
143	0	
144	0.0621488	
145	-0.0301379	
146	-0.0621488	
147	-0.0904136	
148	0	
149	0.0552779	
150	-0.0621488	
151	0	
152	-0.0962129	
