Sourcefile	20230508 155818 Faraday Airdemo Scan Analog.qmp
Exporttime	08.05.2023 16:03:06

Start Time	08.05.2023 15:58:27
End Time	08.05.2023 16:02:53


Task Name	Scan
First Mass	0,00
Scan Width	50,00

Start Time	08.05.2023 15:58:27

Mass [amu]	Ion Current [A]
0,00	-9,693127e-015
0,03	-4,632203e-015
0,06	-1,587289e-015
0,09	-4,948265e-016
0,13	-7,961461e-016
0,16	-3,058232e-015
0,19	-8,839966e-015
0,22	-1,825257e-014
0,25	-2,795296e-014
0,28	-3,418003e-014
0,31	-3,743567e-014
0,34	-4,097621e-014
0,38	-4,581876e-014
0,41	-4,991849e-014
0,44	-5,138213e-014
0,47	-5,030491e-014
0,50	-4,701735e-014
0,53	-4,088663e-014
0,56	-3,197080e-014
0,59	-2,258373e-014
0,63	-1,685051e-014
0,66	-1,691714e-014
0,69	-2,032850e-014
0,72	-2,444947e-014
0,75	-2,893187e-014
0,78	-3,097853e-014
0,81	-2,365339e-014
0,84	4,278968e-016
0,88	4,571730e-014
0,91	1,115356e-013
0,94	1,912560e-013
0,97	2,739343e-013
1,00	3,472939e-013
1,03	4,015078e-013
1,06	4,337207e-013
1,09	4,490730e-013
1,13	4,557329e-013
1,16	4,583076e-013
1,19	4,549787e-013
1,22	4,404362e-013
1,25	4,112472e-013
1,28	3,679914e-013
1,31	3,141611e-013
1,34	2,550183e-013
1,38	1,950656e-013
1,41	1,350300e-013
1,44	7,509610e-014
1,47	2,177594e-014
1,50	-1,278631e-014
1,53	-1,811884e-014
1,56	1,031880e-014
1,59	7,178945e-014
1,63	1,636840e-013
1,66	2,855361e-013
1,69	4,395956e-013
1,72	6,264613e-013
1,75	8,393694e-013
1,78	1,063941e-012
1,81	1,284999e-012
1,84	1,491687e-012
1,88	1,676186e-012
1,91	1,832266e-012
1,94	1,955094e-012
1,97	2,039595e-012
2,00	2,082300e-012
2,03	2,085900e-012
2,06	2,057286e-012
2,09	2,002641e-012
2,13	1,927326e-012
2,16	1,834622e-012
2,19	1,721333e-012
2,22	1,581395e-012
2,25	1,419504e-012
2,28	1,256833e-012
2,31	1,113164e-012
2,34	9,834750e-013
2,38	8,426509e-013
2,41	6,734019e-013
2,44	4,815574e-013
2,47	2,887378e-013
2,50	1,208566e-013
2,53	-1,652389e-015
2,56	-7,450120e-014
2,59	-1,099341e-013
2,63	-1,237331e-013
2,66	-1,258623e-013
2,69	-1,224992e-013
2,72	-1,191764e-013
2,75	-1,193396e-013
2,78	-1,228031e-013
2,81	-1,266477e-013
2,84	-1,278924e-013
2,88	-1,265671e-013
2,91	-1,251527e-013
2,94	-1,242173e-013
2,97	-1,211853e-013
3,00	-1,149973e-013
3,03	-1,096096e-013
3,06	-1,098615e-013
3,09	-1,152044e-013
3,13	-1,208650e-013
3,16	-1,240457e-013
3,19	-1,255023e-013
3,22	-1,259480e-013
3,25	-1,249948e-013
3,28	-1,233682e-013
3,31	-1,228274e-013
3,34	-1,241360e-013
3,38	-1,266212e-013
3,41	-1,289567e-013
3,44	-1,294649e-013
3,47	-1,259286e-013
3,50	-1,163530e-013
3,53	-1,017570e-013
3,56	-8,726985e-014
3,59	-7,747432e-014
3,63	-7,215361e-014
3,66	-6,880828e-014
3,69	-6,612614e-014
3,72	-6,367442e-014
3,75	-6,132086e-014
3,78	-5,925037e-014
3,81	-5,743759e-014
3,84	-5,555685e-014
3,88	-5,358113e-014
3,91	-5,220258e-014
3,94	-5,211373e-014
3,97	-5,317427e-014
4,00	-5,466613e-014
4,03	-5,603744e-014
4,06	-5,741433e-014
4,09	-5,908400e-014
4,13	-6,130681e-014
4,16	-6,538498e-014
4,19	-7,229916e-014
4,22	-7,972975e-014
4,25	-8,398459e-014
4,28	-8,523596e-014
4,31	-8,778251e-014
4,34	-9,408607e-014
4,38	-1,009430e-013
4,41	-1,038206e-013
4,44	-1,025547e-013
4,47	-1,003187e-013
4,50	-1,001266e-013
4,53	-1,037509e-013
4,56	-1,106439e-013
4,59	-1,178065e-013
4,63	-1,225323e-013
4,66	-1,243102e-013
4,69	-1,244311e-013
4,72	-1,246839e-013
4,75	-1,248935e-013
4,78	-1,229035e-013
4,81	-1,188686e-013
4,84	-1,160964e-013
4,88	-1,165766e-013
4,91	-1,192787e-013
4,94	-1,220941e-013
4,97	-1,235175e-013
5,00	-1,235976e-013
5,03	-1,232473e-013
5,06	-1,231118e-013
5,09	-1,240997e-013
5,13	-1,267587e-013
5,16	-1,296261e-013
5,19	-1,312612e-013
5,22	-1,326458e-013
5,25	-1,346480e-013
5,28	-1,354729e-013
5,31	-1,325750e-013
5,34	-1,260369e-013
5,38	-1,197322e-013
5,41	-1,180986e-013
5,44	-1,208406e-013
5,47	-1,231947e-013
5,50	-1,221276e-013
5,53	-1,196398e-013
5,56	-1,197757e-013
5,59	-1,232576e-013
5,63	-1,260015e-013
5,66	-1,246159e-013
5,69	-1,211170e-013
5,72	-1,191347e-013
5,75	-1,181573e-013
5,78	-1,151798e-013
5,81	-1,100320e-013
5,84	-1,061094e-013
5,88	-1,067390e-013
5,91	-1,118867e-013
5,94	-1,184569e-013
5,97	-1,231011e-013
6,00	-1,239542e-013
6,03	-1,215188e-013
6,06	-1,190702e-013
6,09	-1,202963e-013
6,13	-1,254885e-013
6,16	-1,312474e-013
6,19	-1,342904e-013
6,22	-1,340186e-013
6,25	-1,315872e-013
6,28	-1,282626e-013
6,31	-1,252264e-013
6,34	-1,242351e-013
6,38	-1,265652e-013
6,41	-1,305037e-013
6,44	-1,316730e-013
6,47	-1,278344e-013
6,50	-1,224523e-013
6,53	-1,208553e-013
6,56	-1,235187e-013
6,59	-1,261302e-013
6,63	-1,257652e-013
6,66	-1,238469e-013
6,69	-1,232613e-013
6,72	-1,253279e-013
6,75	-1,293160e-013
6,78	-1,333431e-013
6,81	-1,358564e-013
6,84	-1,359659e-013
6,88	-1,329130e-013
6,91	-1,270893e-013
6,94	-1,210435e-013
6,97	-1,181642e-013
7,00	-1,201025e-013
7,03	-1,251411e-013
7,06	-1,295516e-013
7,09	-1,310838e-013
7,13	-1,301887e-013
7,16	-1,278862e-013
7,19	-1,248508e-013
7,22	-1,222545e-013
7,25	-1,208347e-013
7,28	-1,202149e-013
7,31	-1,207699e-013
7,34	-1,242239e-013
7,38	-1,304464e-013
7,41	-1,357091e-013
7,44	-1,364218e-013
7,47	-1,325064e-013
7,50	-1,261062e-013
7,53	-1,196810e-013
7,56	-1,158394e-013
7,59	-1,158788e-013
7,63	-1,176497e-013
7,66	-1,176868e-013
7,69	-1,154216e-013
7,72	-1,133932e-013
7,75	-1,142384e-013
7,78	-1,181694e-013
7,81	-1,226251e-013
7,84	-1,250791e-013
7,88	-1,259361e-013
7,91	-1,261654e-013
7,94	-1,247318e-013
7,97	-1,215863e-013
8,00	-1,186629e-013
8,03	-1,168203e-013
8,06	-1,152415e-013
8,09	-1,126372e-013
8,13	-1,084206e-013
8,16	-1,041017e-013
8,19	-1,024424e-013
