Sourcefile	20230508 152842 Faraday Airdemo Scan Analog.qmp
Exporttime	08.05.2023 15:44:11

Start Time	08.05.2023 15:38:14
End Time	08.05.2023 15:42:32


Task Name	Scan
First Mass	0,00
Scan Width	50,00

Start Time	08.05.2023 15:38:14

Mass [amu]	Ion Current [A]
0,00	-1,244294e-013
0,03	-5,421977e-014
0,06	-1,745243e-014
0,09	-4,545145e-015
0,13	-4,078855e-015
0,16	-1,478618e-014
0,19	-4,447645e-014
0,22	-9,701659e-014
0,25	-1,580621e-013
0,28	-2,025352e-013
0,31	-2,193355e-013
0,34	-2,172622e-013
0,38	-2,080844e-013
0,41	-1,965211e-013
0,44	-1,844564e-013
0,47	-1,744763e-013
0,50	-1,682601e-013
0,53	-1,641592e-013
0,56	-1,563046e-013
0,59	-1,380078e-013
0,63	-1,089385e-013
0,66	-7,880902e-014
0,69	-6,018296e-014
0,72	-5,541459e-014
0,75	-5,528554e-014
0,78	-5,079226e-014
0,81	-3,849945e-014
0,84	-1,483153e-014
0,88	2,654821e-014
0,91	8,963400e-014
0,94	1,704841e-013
0,97	2,563298e-013
1,00	3,308992e-013
1,03	3,837570e-013
1,06	4,157596e-013
1,09	4,350375e-013
1,13	4,481707e-013
1,16	4,556996e-013
1,19	4,543038e-013
1,22	4,407197e-013
1,25	4,136019e-013
1,28	3,737670e-013
1,31	3,241608e-013
1,34	2,684657e-013
1,38	2,090834e-013
1,41	1,487110e-013
1,44	9,353962e-014
1,47	5,207164e-014
1,50	3,196561e-014
1,53	3,960405e-014
1,56	7,903670e-014
1,59	1,499001e-013
1,63	2,503034e-013
1,66	3,816310e-013
1,69	5,465187e-013
1,72	7,414887e-013
1,75	9,538201e-013
1,78	1,166890e-012
1,81	1,367681e-012
1,84	1,548316e-012
1,88	1,703234e-012
1,91	1,828336e-012
1,94	1,921917e-012
1,97	1,984326e-012
2,00	2,016709e-012
2,03	2,020949e-012
2,06	2,000170e-012
2,09	1,958165e-012
2,13	1,898058e-012
2,16	1,819724e-012
2,19	1,717825e-012
2,22	1,586215e-012
2,25	1,429803e-012
2,28	1,269878e-012
2,31	1,127303e-012
2,34	9,996989e-013
2,38	8,642955e-013
2,41	7,030668e-013
2,44	5,191995e-013
2,47	3,331447e-013
2,50	1,710794e-013
2,53	5,347208e-014
2,56	-1,474429e-014
2,59	-4,414337e-014
2,63	-5,093467e-014
2,66	-4,866392e-014
2,69	-4,577613e-014
2,72	-4,582484e-014
2,75	-4,841956e-014
2,78	-5,123451e-014
2,81	-5,250091e-014
2,84	-5,242063e-014
2,88	-5,314160e-014
2,91	-5,659089e-014
2,94	-6,165352e-014
2,97	-6,529494e-014
3,00	-6,580539e-014
3,03	-6,285669e-014
3,06	-5,657496e-014
3,09	-4,842911e-014
3,13	-4,123223e-014
3,16	-3,775942e-014
3,19	-3,953908e-014
3,22	-4,497571e-014
3,25	-4,921466e-014
3,28	-4,863738e-014
3,31	-4,432146e-014
3,34	-3,952765e-014
3,38	-3,570279e-014
3,41	-3,207664e-014
3,44	-2,802307e-014
3,47	-2,471647e-014
3,50	-2,329350e-014
3,53	-2,201974e-014
3,56	-1,807694e-014
3,59	-1,151562e-014
3,63	-5,223960e-015
3,66	-1,832937e-015
3,69	-1,276249e-015
3,72	-1,203122e-015
3,75	3,911124e-016
3,78	4,109635e-015
3,81	9,632439e-015
3,84	1,496776e-014
3,88	1,645490e-014
3,91	1,195584e-014
3,94	4,196149e-015
3,97	-8,583390e-016
4,00	3,385900e-017
4,03	4,236997e-015
4,06	7,098476e-015
4,09	7,113226e-015
4,13	5,414995e-015
4,16	2,676857e-015
4,19	-1,037759e-015
4,22	-5,279841e-015
4,25	-9,450513e-015
4,28	-1,307883e-014
4,31	-1,610196e-014
4,34	-1,921754e-014
4,38	-2,341300e-014
4,41	-2,900126e-014
4,44	-3,516779e-014
4,47	-4,041631e-014
4,50	-4,287480e-014
4,53	-4,085178e-014
4,56	-3,532550e-014
4,59	-3,077953e-014
4,63	-3,065317e-014
4,66	-3,337464e-014
4,69	-3,526423e-014
4,72	-3,501653e-014
4,75	-3,332981e-014
4,78	-3,101389e-014
4,81	-2,914634e-014
4,84	-2,898456e-014
4,88	-3,113243e-014
4,91	-3,549373e-014
4,94	-4,112250e-014
4,97	-4,633667e-014
5,00	-5,038625e-014
5,03	-5,405043e-014
5,06	-5,784664e-014
5,09	-6,079220e-014
5,13	-6,081349e-014
5,16	-5,619971e-014
5,19	-4,776418e-014
5,22	-3,881129e-014
5,25	-3,234637e-014
5,28	-2,962609e-014
5,31	-3,071276e-014
5,34	-3,527423e-014
5,38	-4,292045e-014
5,41	-5,202604e-014
5,44	-5,918305e-014
5,47	-6,159594e-014
5,50	-5,938341e-014
5,53	-5,496903e-014
5,56	-5,072910e-014
5,59	-4,739059e-014
5,63	-4,459034e-014
5,66	-4,192784e-014
5,69	-3,879497e-014
5,72	-3,502768e-014
5,75	-3,236417e-014
5,78	-3,299422e-014
5,81	-3,664595e-014
5,84	-4,142639e-014
5,88	-4,621751e-014
5,91	-4,981804e-014
5,94	-5,044822e-014
5,97	-4,822070e-014
6,00	-4,524920e-014
6,03	-4,298268e-014
6,06	-4,177145e-014
6,09	-4,131950e-014
6,13	-3,999221e-014
6,16	-3,659175e-014
6,19	-3,318889e-014
6,22	-3,357689e-014
6,25	-3,902879e-014
6,28	-4,620488e-014
6,31	-4,992477e-014
6,34	-4,885412e-014
6,38	-4,672696e-014
6,41	-4,720808e-014
6,44	-4,955019e-014
6,47	-5,021543e-014
6,50	-4,742319e-014
6,53	-4,334232e-014
6,56	-4,181242e-014
6,59	-4,368419e-014
6,63	-4,633355e-014
6,66	-4,796803e-014
6,69	-4,907063e-014
6,72	-4,995226e-014
6,75	-4,937489e-014
6,78	-4,575793e-014
6,81	-3,969175e-014
